season,ride_month,member_casual,ride_count
Summer,22-08,member,417117
Summer,22-07,member,407943
Summer,23-06,member,407691
Summer,22-07,casual,396872
Fall,22-09,member,395329
Spring,23-05,member,359461
Summer,22-08,casual,350519
Fall,22-10,member,341270
Summer,23-06,casual,292365
Fall,22-09,casual,289853
Spring,23-04,member,269042
Fall,22-11,member,231631
Spring,23-05,casual,226893
Fall,22-10,casual,203883
Spring,23-03,member,189289
Winter,23-01,member,145246
Winter,23-02,member,142601
Spring,23-04,casual,142226
Winter,22-12,member,133259
Fall,22-11,casual,98211
Spring,23-03,casual,60152
Winter,22-12,casual,43650
Winter,23-02,casual,41734
Winter,23-01,casual,38749